id,Location,lat-lon,Area,Bed,Bath,Price
0,"Block H, Bashundhara R-A, Dhaka",0.2634056357,"1,600 sqft",3,3,20 Thousand
1,"Farmgate, Tejgaon, Dhaka",0.2628414627,0900 sqft,2,2,20 Thousand
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",0.263016925,"1,250 sqft",3,3,18 Thousand
3,"Gulshan 1, Gulshan, Dhaka",0.2630100457,"2,200 sqft",3,4,75 Thousand
4,"Baridhara, Dhaka",0.2632455535,"2,200 sqft",3,3,75 Thousand
5,"Bashundhara R-A, Dhaka",0.2627610746,"3,000 sqft",4,5,50 Thousand
6,"Baridhara, Dhaka",0.2632455535,"2,300 sqft",3,3,75 Thousand
7,"PC Culture Housing, Mohammadpur, Dhaka",0.2630716649,0950 sqft,2,2,14 Thousand
8,"Jigatola, Hazaribag, Dhaka",0.2626248284,"1,600 sqft",3,3,28 Thousand
9,"West Kazipara, Mirpur, Dhaka",0.263427659,"1,150 sqft",3,3,19 Thousand
10,"Block D, Bashundhara R-A, Dhaka",0.2633587101,"1,300 sqft",3,3,40 Thousand
11,"Block J, Bashundhara R-A, Dhaka",0.2634056357,"1,250 sqft",3,3,19 Thousand
12,"Block D, Bashundhara R-A, Dhaka",0.2633587101,"1,300 sqft",3,3,60 Thousand
13,"Nikunja 2, Nikunja, Dhaka",0.2635435577,0750 sqft,2,2,16 Thousand
14,"Sector 6, Uttara, Dhaka",0.2640719624,"1,850 sqft",3,3,40 Thousand
15,"Block D, Bashundhara R-A, Dhaka",0.2633587101,"1,300 sqft",3,3,35 Thousand
16,"Khilgaon, Dhaka",0.2626608339,"1,200 sqft",3,3,18 Thousand
17,"Block K, Baridhara, Dhaka",0.263217545,"3,000 sqft",4,4,1.6 Lakh
18,"Ibrahimpur, Dhaka",0.2632690204,"1,050 sqft",3,3,25 Thousand
19,"Ibrahimpur, Dhaka",0.2632690204,"1,050 sqft",3,3,25 Thousand
20,"Sector 5, Uttara, Dhaka",0.2640050243,"1,400 sqft",3,2,30 Thousand
21,"PC Culture Housing, Mohammadpur, Dhaka",0.2630716649,"1,150 sqft",3,3,19 Thousand
